NAICS Description,naics2002,data,total
,221330,est. rec.,1030929
Construction,23,firms,799811
,23,estab.,811452
,23,empl.,7267883
,23,ann. pay.,336131094
,23,est. rec.,1711273328
Construction of Buildings,236,firms,242322
,236,estab.,244862
,236,empl.,1672254
,236,ann. pay.,83317423
,236,est. rec.,752446316
Residential Building Construction,2361,firms,197276
,2361,estab.,198530
,2361,empl.,905293
,2361,ann. pay.,39060244
,2361,est. rec.,346916025
Residential Building Construction,23611,firms,197276
,23611,estab.,198530
,23611,empl.,905293
,23611,ann. pay.,39060244
,23611,est. rec.,346916025
New Single-Family Housing Construction (except Operative Builders),236115,firms,61262
,236115,estab.,61613
,236115,empl.,282851
,236115,ann. pay.,11889287
,236115,est. rec.,100164027
New Multifamily Housing Construction (except Operative Builders),236116,firms,4319
,236116,estab.,4373
,236116,empl.,46634
,236116,ann. pay.,2466284
,236116,est. rec.,24112422
New Housing Operative Builders,236117,firms,32158
,236117,estab.,32753
,236117,empl.,220674
,236117,ann. pay.,12181466
,236117,est. rec.,149794147
Residential Remodelers,236118,firms,99592
,236118,estab.,99791
,236118,empl.,355134
,236118,ann. pay.,12523207
,236118,est. rec.,72845429
Nonresidential Building Construction,2362,firms,45105
,2362,estab.,46332
,2362,empl.,766961
,2362,ann. pay.,44257179
,2362,est. rec.,405530291
Industrial Building Construction,23621,firms,3858
,23621,estab.,3963
,23621,empl.,96918
,23621,ann. pay.,5057462
,23621,est. rec.,25607419
Industrial Building Construction,236210,firms,3858
,236210,estab.,3963
,236210,empl.,96918
,236210,ann. pay.,5057462
,236210,est. rec.,25607419
Commercial and Institutional Building Construction,23622,firms,41282
,23622,estab.,42369
,23622,empl.,670043
,23622,ann. pay.,39199717
,23622,est. rec.,379922872
Commercial and Institutional Building Construction,236220,firms,41282
,236220,estab.,42369
,236220,empl.,670043
,236220,ann. pay.,39199717
,236220,est. rec.,379922872
Heavy and Civil Engineering Construction,237,firms,49228
,237,estab.,51421
,237,empl.,1016407
,237,ann. pay.,56606945
,237,est. rec.,263941774
Utility System Construction,2371,firms,20421
,2371,estab.,21448
,2371,empl.,524840
,2371,ann. pay.,28284038
,2371,est. rec.,108936447
Water and Sewer Line and Related Structures Construction,23711,firms,13679
,23711,estab.,13872
,23711,empl.,206899
,23711,ann. pay.,10338314
,23711,est. rec.,50090174
Water and Sewer Line and Related Structures Construction,237110,firms,13679
,237110,estab.,13872
,237110,empl.,206899
,237110,ann. pay.,10338314
,237110,est. rec.,50090174
Oil and Gas Pipeline and Related Structures Construction,23712,firms,1671
,23712,estab.,1826
,23712,empl.,121718
,23712,ann. pay.,7483218
,23712,est. rec.,24496075
Oil and Gas Pipeline and Related Structures Construction,237120,firms,1671
,237120,estab.,1826
,237120,empl.,121718
,237120,ann. pay.,7483218
,237120,est. rec.,24496075
Power and Communication Line and Related Structures Construction,23713,firms,5099
,23713,estab.,5750
,23713,empl.,196223
,23713,ann. pay.,10462506
,23713,est. rec.,34350198
Power and Communication Line and Related Structures Construction,237130,firms,5099
,237130,estab.,5750
,237130,empl.,196223
,237130,ann. pay.,10462506
,237130,est. rec.,34350198
Land Subdivision,2372,firms,12748
,2372,estab.,12835
,2372,empl.,76733
,2372,ann. pay.,3980479
,2372,est. rec.,23378481
Land Subdivision,23721,firms,12748
,23721,estab.,12835
,23721,empl.,76733
,23721,ann. pay.,3980479
,23721,est. rec.,23378481
Land Subdivision,237210,firms,12748
,237210,estab.,12835
,237210,empl.,76733
,237210,ann. pay.,3980479
,237210,est. rec.,23378481
"Highway, Street, and Bridge Construction",2373,firms,10953
,2373,estab.,11746
,2373,empl.,323289
,2373,ann. pay.,19112815
,2373,est. rec.,108335101
"Highway, Street, and Bridge Construction",23731,firms,10953
,23731,estab.,11746
,23731,empl.,323289
