NAICS Description,naics2002,data,total
,42386,estab.,2746
,42386,empl.,40460
,42386,ann. pay.,2619303
,42386,est. rec.,43973052
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,423860,firms,2400
,423860,estab.,2746
,423860,empl.,40460
,423860,ann. pay.,2619303
,423860,est. rec.,43973052
Miscellaneous Durable Goods Merchant Wholesalers,4239,firms,31061
,4239,estab.,34498
,4239,empl.,349701
,4239,ann. pay.,16220542
,4239,est. rec.,237079603
Sporting and Recreational Goods and Supplies Merchant Wholesalers,42391,firms,4710
,42391,estab.,5310
,42391,empl.,53064
,42391,ann. pay.,2441673
,42391,est. rec.,31989217
Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910,firms,4710
,423910,estab.,5310
,423910,empl.,53064
,423910,ann. pay.,2441673
,423910,est. rec.,31989217
Toy and Hobby Goods and Supplies Merchant Wholesalers,42392,firms,2282
,42392,estab.,2444
,42392,empl.,32283
,42392,ann. pay.,1647453
,42392,est. rec.,24072270
Toy and Hobby Goods and Supplies Merchant Wholesalers,423920,firms,2282
,423920,estab.,2444
,423920,empl.,32283
,423920,ann. pay.,1647453
,423920,est. rec.,24072270
Recyclable Material Merchant Wholesalers,42393,firms,6258
,42393,estab.,7428
,42393,empl.,101172
,42393,ann. pay.,4586705
,42393,est. rec.,81601234
Recyclable Material Merchant Wholesalers,423930,firms,6258
,423930,estab.,7428
,423930,empl.,101172
,423930,ann. pay.,4586705
,423930,est. rec.,81601234
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",42394,firms,7761
,42394,estab.,8009
,42394,empl.,52571
,42394,ann. pay.,2467158
,42394,est. rec.,42113681
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",423940,firms,7761
,423940,estab.,8009
,423940,empl.,52571
,423940,ann. pay.,2467158
,423940,est. rec.,42113681
Other Miscellaneous Durable Goods Merchant Wholesalers,42399,firms,10072
,42399,estab.,11307
,42399,empl.,110611
,42399,ann. pay.,5077553
,42399,est. rec.,57303201
Other Miscellaneous Durable Goods Merchant Wholesalers,423990,firms,10072
,423990,estab.,11307
,423990,empl.,110611
,423990,ann. pay.,5077553
,423990,est. rec.,57303201
"Merchant Wholesalers, Nondurable Goods",424,firms,102988
,424,estab.,130640
,424,empl.,2228049
,424,ann. pay.,113632522
,424,est. rec.,2728235496
Paper and Paper Product Merchant Wholesalers,4241,firms,9068
,4241,estab.,11448
,4241,empl.,172308
,4241,ann. pay.,8753347
,4241,est. rec.,128725885
Printing and Writing Paper Merchant Wholesalers,42411,firms,854
,42411,estab.,1476
,42411,empl.,22508
,42411,ann. pay.,1503588
,42411,est. rec.,32254452
Printing and Writing Paper Merchant Wholesalers,424110,firms,854
,424110,estab.,1476
,424110,empl.,22508
,424110,ann. pay.,1503588
,424110,est. rec.,32254452
Stationery and Office Supplies Merchant Wholesalers,42412,firms,4791
,42412,estab.,5800
,42412,empl.,83996
,42412,ann. pay.,3598495
,42412,est. rec.,38836194
Stationery and Office Supplies Merchant Wholesalers,424120,firms,4791
,424120,estab.,5800
,424120,empl.,83996
,424120,ann. pay.,3598495
,424120,est. rec.,38836194
Industrial and Personal Service Paper Merchant Wholesalers,42413,firms,3458
,42413,estab.,4172
,42413,empl.,65804
,42413,ann. pay.,3651264
,42413,est. rec.,57635239
Industrial and Personal Service Paper Merchant Wholesalers,424130,firms,3458
,424130,estab.,4172
,424130,empl.,65804
,424130,ann. pay.,3651264
,424130,est. rec.,57635239
Drugs and Druggists' Sundries Merchant Wholesalers,4242,firms,6147
,4242,estab.,7649
,4242,empl.,248057
,4242,ann. pay.,19904387
,4242,est. rec.,517059981
Drugs and Druggists' Sundries Merchant Wholesalers,42421,firms,6147
,42421,estab.,7649
,42421,empl.,248057
,42421,ann. pay.,19904387
,42421,est. rec.,517059981
Drugs and Druggists' Sundries Merchant Wholesalers,424210,firms,6147
,424210,estab.,7649
,424210,empl.,248057
,424210,ann. pay.,19904387
,424210,est. rec.,517059981
"Apparel, Piece Goods, and Notions Merchant Wholesalers",4243,firms,14941
,4243,estab.,16218
,4243,empl.,196601
,4243,ann. pay.,10336505
,4243,est. rec.,133355219
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",42431,firms,3327
,42431,estab.,3703
,42431,empl.,31968
,42431,ann. pay.,1468401
,42431,est. rec.,17649459
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",424310,firms,3327
,424310,estab.,3703
,424310,empl.,31968
,424310,ann. pay.,1468401
,424310,est. rec.,17649459
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,42432,firms,3329
,42432,estab.,3642
,42432,empl.,55727
,42432,ann. pay.,2630957
,42432,est. rec.,34006700
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,424320,firms,3329
,424320,estab.,3642
,424320,empl.,55727
,424320,ann. pay.,2630957
,424320,est. rec.,34006700
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",42433,firms,6799
,42433,estab.,7248
,42433,empl.,85711
,42433,ann. pay.,4625281
,42433,est. rec.,60622811
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",424330,firms,6799
,424330,estab.,7248
,424330,empl.,85711
,424330,ann. pay.,4625281
,424330,est. rec.,60622811
Footwear Merchant Wholesalers,42434,firms,1542
,42434,estab.,1625
,42434,empl.,23195
,42434,ann. pay.,1611866
,42434,est. rec.,21076249
Footwear Merchant Wholesalers,424340,firms,1542
,424340,estab.,1625
,424340,empl.,23195
,424340,ann. pay.,1611866
,424340,est. rec.,21076249
Grocery and Related Product Wholesalers,4244,firms,27473
,4244,estab.,33620
,4244,empl.,768342
,4244,ann. pay.,34210352
,4244,est. rec.,642646917
General Line Grocery Merchant Wholesalers,42441,firms,3043
,42441,estab.,3488
,42441,empl.,136572
,42441,ann. pay.,6576613
,42441,est. rec.,134344128
General Line Grocery Merchant Wholesalers,424410,firms,3043
,424410,estab.,3488
,424410,empl.,136572
,424410,ann. pay.,6576613
,424410,est. rec.,134344128
Packaged Frozen Food Merchant Wholesalers,42442,firms,2562
,42442,estab.,3148
,42442,empl.,91772
,42442,ann. pay.,4288905
,42442,est. rec.,93971708
Packaged Frozen Food Merchant Wholesalers,424420,firms,2562
,424420,estab.,3148
,424420,empl.,91772
,424420,ann. pay.,4288905
,424420,est. rec.,93971708
Dairy Product (except Dried or Canned) Merchant Wholesalers,42443,firms,1552
,42443,estab.,2118
,42443,empl.,45969
,42443,ann. pay.,2175142
,42443,est. rec.,54819045
Dairy Product (except Dried or Canned) Merchant Wholesalers,424430,firms,1552
,424430,estab.,2118
,424430,empl.,45969
,424430,ann. pay.,2175142
,424430,est. rec.,54819045
Poultry and Poultry Product Merchant Wholesalers,42444,firms,515
,42444,estab.,587
,42444,empl.,10869
,42444,ann. pay.,428283
,42444,est. rec.,11707507
Poultry and Poultry Product Merchant Wholesalers,424440,firms,515
,424440,estab.,587
,424440,empl.,10869
,424440,ann. pay.,428283
,424440,est. rec.,11707507
Confectionery Merchant Wholesalers,42445,firms,2017
,42445,estab.,2388
,42445,empl.,51875
,42445,ann. pay.,2285769
,42445,est. rec.,33084410
Confectionery Merchant Wholesalers,424450,firms,2017
,424450,estab.,2388
,424450,empl.,51875
,424450,ann. pay.,2285769
,424450,est. rec.,33084410
Fish and Seafood Merchant Wholesalers,42446,firms,2337
,42446,estab.,2438
,42446,empl.,24232
,42446,ann. pay.,924654
,42446,est. rec.,15765144
Fish and Seafood Merchant Wholesalers,424460,firms,2337
,424460,estab.,2438
,424460,empl.,24232
,424460,ann. pay.,924654
,424460,est. rec.,15765144
Meat and Meat Product Merchant Wholesalers,42447,firms,2382
,42447,estab.,2570
,42447,empl.,44542
,42447,ann. pay.,1851139
,42447,est. rec.,42579425
Meat and Meat Product Merchant Wholesalers,424470,firms,2382
,424470,estab.,2570
,424470,empl.,44542
,424470,ann. pay.,1851139
,424470,est. rec.,42579425
Fresh Fruit and Vegetable Merchant Wholesalers,42448,firms,4551
,42448,estab.,4950
,42448,empl.,102183
,42448,ann. pay.,4149345
,42448,est. rec.,63809943
Fresh Fruit and Vegetable Merchant Wholesalers,424480,firms,4551
,424480,estab.,4950
,424480,empl.,102183
,424480,ann. pay.,4149345
,424480,est. rec.,63809943
Other Grocery and Related Products Merchant Wholesalers,42449,firms,8754
,42449,estab.,11933
,42449,empl.,260328
,42449,ann. pay.,11530502
,42449,est. rec.,192565607
Other Grocery and Related Products Merchant Wholesalers,424490,firms,8754
,424490,estab.,11933
,424490,empl.,260328
,424490,ann. pay.,11530502
,424490,est. rec.,192565607
Farm Product Raw Material Merchant Wholesalers,4245,firms,4004
,4245,estab.,6566
,4245,empl.,61349
,4245,ann. pay.,2450984
,4245,est. rec.,133374471
Grain and Field Bean Merchant Wholesalers,42451,firms,2386
,42451,estab.,4699
,42451,empl.,44585
,42451,ann. pay.,1924430
,42451,est. rec.,110342645
Grain and Field Bean Merchant Wholesalers,424510,firms,2386
,424510,estab.,4699
,424510,empl.,44585
,424510,ann. pay.,1924430
,424510,est. rec.,110342645
Livestock Merchant Wholesalers,42452,firms,851
,42452,estab.,995
,42452,empl.,9895
,42452,ann. pay.,144737
,42452,est. rec.,10436109
Livestock Merchant Wholesalers,424520,firms,851
,424520,estab.,995
,424520,empl.,9895
,424520,ann. pay.,144737
,424520,est. rec.,10436109
Other Farm Product Raw Material Merchant Wholesalers,42459,firms,779
,42459,estab.,872
,42459,empl.,6869
,42459,ann. pay.,381817
,42459,est. rec.,12595717
Other Farm Product Raw Material Merchant Wholesalers,424590,firms,779
,424590,estab.,872
,424590,empl.,6869
,424590,ann. pay.,381817
,424590,est. rec.,12595717
Chemical and Allied Products Merchant Wholesalers,4246,firms,8376
,4246,estab.,12541
,4246,empl.,139481
,4246,ann. pay.,8572129
,4246,est. rec.,164075562
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,42461,firms,2231
,42461,estab.,2894
,42461,empl.,35553
,42461,ann. pay.,2002656
,42461,est. rec.,44505878
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,424610,firms,2231
,424610,estab.,2894
,424610,empl.,35553
,424610,ann. pay.,2002656
,424610,est. rec.,44505878
Other Chemical and Allied Products Merchant Wholesalers,42469,firms,6169
,42469,estab.,9647
,42469,empl.,103928
,42469,ann. pay.,6569473
,42469,est. rec.,119569684
Other Chemical and Allied Products Merchant Wholesalers,424690,firms,6169
,424690,estab.,9647
,424690,empl.,103928
,424690,ann. pay.,6569473
,424690,est. rec.,119569684
Petroleum and Petroleum Products Merchant Wholesalers,4247,firms,4890
,4247,estab.,7024
,4247,empl.,94845
,4247,ann. pay.,5626252
,4247,est. rec.,632241487
Petroleum Bulk Stations and Terminals,42471,firms,2814
,42471,estab.,4226
,42471,empl.,62107
,42471,ann. pay.,3455849
,42471,est. rec.,392172727
Petroleum Bulk Stations and Terminals,424710,firms,2814
,424710,estab.,4226
,424710,empl.,62107
,424710,ann. pay.,3455849
,424710,est. rec.,392172727
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),42472,firms,2203
,42472,estab.,2798
,42472,empl.,32738
,42472,ann. pay.,2170403
,42472,est. rec.,240068760
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),424720,firms,2203
,424720,estab.,2798
,424720,empl.,32738
,424720,ann. pay.,2170403
,424720,est. rec.,240068760
"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",4248,firms,3339
,4248,estab.,4160
,4248,empl.,178694
,4248,ann. pay.,9066650
,4248,est. rec.,110616182
Beer and Ale Merchant Wholesalers,42481,firms,1820
,42481,estab.,2214
,42481,empl.,107891
,42481,ann. pay.,4825904
,42481,est. rec.,52573920
Beer and Ale Merchant Wholesalers,424810,firms,1820
,424810,estab.,2214
,424810,empl.,107891
,424810,ann. pay.,4825904
,424810,est. rec.,52573920
Wine and Distilled Alcoholic Beverage Merchant Wholesalers,42482,firms,1546
,42482,estab.,1946
,42482,empl.,70803
,42482,ann. pay.,4240746
,42482,est. rec.,58042262
Wine and Distilled Alcoholic Beverage Merchant Wholesalers,424820,firms,1546
,424820,estab.,1946
,424820,empl.,70803
,424820,ann. pay.,4240746
,424820,est. rec.,58042262
Miscellaneous Nondurable Goods Merchant Wholesalers,4249,firms,25401
,4249,estab.,31414
,4249,empl.,368372
,4249,ann. pay.,14711916
,4249,est. rec.,266139792
Farm Supplies Merchant Wholesalers,42491,firms,4873
,42491,estab.,7830
,42491,empl.,79749
,42491,ann. pay.,3678849
,42491,est. rec.,74124183
Farm Supplies Merchant Wholesalers,424910,firms,4873
,424910,estab.,7830
,424910,empl.,79749
,424910,ann. pay.,3678849
,424910,est. rec.,74124183
"Book, Periodical, and Newspaper Merchant Wholesalers",42492,firms,2097
,42492,estab.,2867
,42492,empl.,67808
,42492,ann. pay.,2566478
,42492,est. rec.,30432808
"Book, Periodical, and Newspaper Merchant Wholesalers",424920,firms,2097
,424920,estab.,2867
,424920,empl.,67808
,424920,ann. pay.,2566478
,424920,est. rec.,30432808
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",42493,firms,3752
,42493,estab.,4303
,42493,empl.,56785
,42493,ann. pay.,1689804
,42493,est. rec.,11207040
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",424930,firms,3752
,424930,estab.,4303
,424930,empl.,56785
,424930,ann. pay.,1689804
,424930,est. rec.,11207040
Tobacco and Tobacco Product Merchant Wholesalers,42494,firms,1159
,42494,estab.,1395
,42494,empl.,54216
,42494,ann. pay.,2166170
,42494,est. rec.,98221884
Tobacco and Tobacco Product Merchant Wholesalers,424940,firms,1159
,424940,estab.,1395
,424940,empl.,54216
,424940,ann. pay.,2166170
,424940,est. rec.,98221884
"Paint, Varnish, and Supplies Merchant Wholesalers",42495,firms,1207
,42495,estab.,2183
,42495,empl.,19875
,42495,ann. pay.,929405
,42495,est. rec.,11652375
"Paint, Varnish, and Supplies Merchant Wholesalers",424950,firms,1207
,424950,estab.,2183
,424950,empl.,19875
,424950,ann. pay.,929405
,424950,est. rec.,11652375
Other Miscellaneous Nondurable Goods Merchant Wholesalers,42499,firms,12357
,42499,estab.,12836
,42499,empl.,89939
,42499,ann. pay.,3681210
,42499,est. rec.,40501502
Other Miscellaneous Nondurable Goods Merchant Wholesalers,424990,firms,12357
,424990,estab.,12836
,424990,empl.,89939
,424990,ann. pay.,3681210
,424990,est. rec.,40501502
Wholesale Electronic Markets and Agents and Brokers,425,firms,54096
,425,estab.,56485
,425,empl.,341524
,425,ann. pay.,17246001
,425,est. rec.,603217181
Wholesale Electronic Markets and Agents and Brokers,4251,firms,54096
,4251,estab.,56485
,4251,empl.,341524
,4251,ann. pay.,17246001
,4251,est. rec.,603217181
Business to Business Electronic Markets,42511,firms,1218
,42511,estab.,1231
,42511,empl.,7731
,42511,ann. pay.,379286
,42511,est. rec.,8769490
Business to Business Electronic Markets,425110,firms,1218
,425110,estab.,1231
,425110,empl.,7731
,425110,ann. pay.,379286
,425110,est. rec.,8769490
Wholesale Trade Agents and Brokers,42512,firms,52882
,42512,estab.,55254
,42512,empl.,333793
,42512,ann. pay.,16866715
,42512,est. rec.,594447691
Wholesale Trade Agents and Brokers,425120,firms,52882
,425120,estab.,55254
,425120,empl.,333793
,425120,ann. pay.,16866715
,425120,est. rec.,594447691
Retail Trade,44-45,firms,712947
,44-45,estab.,1123629
,44-45,empl.,15759928
,44-45,ann. pay.,375200265
,44-45,est. rec.,3966104127
Motor Vehicle and Parts Dealers,441,firms,94291
,441,estab.,127331
,441,empl.,1938266
,441,ann. pay.,74714352
,441,est. rec.,896297538
Automobile Dealers,4411,firms,46395
,4411,estab.,51236
,4411,empl.,1273660
,4411,ann. pay.,55356109
,4411,est. rec.,752599068
New Car Dealers,44111,firms,20908
,44111,estab.,24370
,44111,empl.,1137524
,44111,ann. pay.,50874842
,44111,est. rec.,682717819
New Car Dealers,441110,firms,20908
,441110,estab.,24370
,441110,empl.,1137524
,441110,ann. pay.,50874842
,441110,est. rec.,682717819
Used Car Dealers,44112,firms,25715
,44112,estab.,26866
,44112,empl.,136136
,44112,ann. pay.,4481267
,44112,est. rec.,69881249
Used Car Dealers,441120,firms,25715
,441120,estab.,26866
,441120,empl.,136136
,441120,ann. pay.,4481267
,441120,est. rec.,69881249
Other Motor Vehicle Dealers,4412,firms,15281
,4412,estab.,17030
,4412,empl.,168973
,4412,ann. pay.,6109417
,4412,est. rec.,63800591
Recreational Vehicle Dealers,44121,firms,2676
,44121,estab.,3021
,44121,empl.,42536
,44121,ann. pay.,1685977
,44121,est. rec.,18664877
Recreational Vehicle Dealers,441210,firms,2676
,441210,estab.,3021
,441210,empl.,42536
,441210,ann. pay.,1685977
,441210,est. rec.,18664877
"Motorcycle, Boat, and Other Motor Vehicle Dealers",44122,firms,12609
,44122,estab.,14009
,44122,empl.,126437
,44122,ann. pay.,4423440
,44122,est. rec.,45135714
Motorcycle Dealers,441221,firms,5657
,441221,estab.,6033
,441221,empl.,69215
,441221,ann. pay.,2354692
,441221,est. rec.,22441751
Boat Dealers,441222,firms,4664
,441222,estab.,5582
,441222,empl.,41705
,441222,ann. pay.,1491883
,441222,est. rec.,15069662
All Other Motor Vehicle Dealers,441229,firms,2291
,441229,estab.,2394
,441229,empl.,15517
,441229,ann. pay.,576865
,441229,est. rec.,7624301
"Automotive Parts, Accessories, and Tire Stores",4413,firms,32751
,4413,estab.,59065
,4413,empl.,495633
,4413,ann. pay.,13248826
,4413,est. rec.,79897879
Automotive Parts and Accessories Stores,44131,firms,21690
,44131,estab.,39608
,44131,empl.,329193
,44131,ann. pay.,7762008
,44131,est. rec.,49094727
Automotive Parts and Accessories Stores,441310,firms,21690
,441310,estab.,39608
,441310,empl.,329193
,441310,ann. pay.,7762008
,441310,est. rec.,49094727
Tire Dealers,44132,firms,11128
,44132,estab.,19457
,44132,empl.,166440
,44132,ann. pay.,5486818
,44132,est. rec.,30803152
Tire Dealers,441320,firms,11128
,441320,estab.,19457
,441320,empl.,166440
,441320,ann. pay.,5486818
,441320,est. rec.,30803152
Furniture and Home Furnishings Stores,442,firms,46532
,442,estab.,65485
,442,empl.,596538
,442,ann. pay.,15608995
,442,est. rec.,112218395
Furniture Stores,4421,firms,20179
,4421,estab.,29239
,4421,empl.,271675
,4421,ann. pay.,8260897
,4421,est. rec.,59587384
Furniture Stores,44211,firms,20179
,44211,estab.,29239
,44211,empl.,271675
,44211,ann. pay.,8260897
,44211,est. rec.,59587384
Furniture Stores,442110,firms,20179
,442110,estab.,29239
,442110,empl.,271675
,442110,ann. pay.,8260897
,442110,est. rec.,59587384
Home Furnishings Stores,4422,firms,26429
,4422,estab.,36246
,4422,empl.,324863
,4422,ann. pay.,7348098
,4422,est. rec.,52631011
Floor Covering Stores,44221,firms,12784
,44221,estab.,14614
,44221,empl.,94807
,44221,ann. pay.,3499171
,44221,est. rec.,22794755
Floor Covering Stores,442210,firms,12784
,442210,estab.,14614
,442210,empl.,94807
,442210,ann. pay.,3499171
,442210,est. rec.,22794755
Other Home Furnishings Stores,44229,firms,13649
,44229,estab.,21632
,44229,empl.,230056
,44229,ann. pay.,3848927
,44229,est. rec.,29836256
Window Treatment Stores,442291,firms,2552
,442291,estab.,3080
,442291,empl.,15688
,442291,ann. pay.,354654
,442291,est. rec.,2319010
All Other Home Furnishings Stores,442299,firms,11103
,442299,estab.,18552
,442299,empl.,214368
,442299,ann. pay.,3494273
,442299,est. rec.,27517246
Electronics and Appliance Stores,443,firms,30657
,443,estab.,52470
,443,empl.,500780
,443,ann. pay.,12453524
,443,est. rec.,116040434
Electronics and Appliance Stores,4431,firms,30657
,4431,estab.,52470
,4431,empl.,500780
,4431,ann. pay.,12453524
,4431,est. rec.,116040434
"Appliance, Television, and Other Electronics Stores",44311,firms,22554
,44311,estab.,38280
,44311,empl.,387129
,44311,ann. pay.,9425606
,44311,est. rec.,87359290
Household Appliance Stores,443111,firms,7467
,443111,estab.,9024
,443111,empl.,69030
,443111,ann. pay.,2111653
,443111,est. rec.,17548557
"Radio, Television, and Other Electronics Stores",443112,firms,15109
,443112,estab.,29256
,443112,empl.,318099
,443112,ann. pay.,7313953
,443112,est. rec.,69810733
Computer and Software Stores,44312,firms,7286
,44312,estab.,12141
,44312,empl.,99697
,44312,ann. pay.,2611264
,44312,est. rec.,24781791
Computer and Software Stores,443120,firms,7286
,443120,estab.,12141
,443120,empl.,99697
,443120,ann. pay.,2611264
,443120,est. rec.,24781791
Camera and Photographic Supplies Stores,44313,firms,825
,44313,estab.,2049
,44313,empl.,13954
,44313,ann. pay.,416654
,44313,est. rec.,3899353
Camera and Photographic Supplies Stores,443130,firms,825
,443130,estab.,2049
,443130,empl.,13954
,443130,ann. pay.,416654
,443130,est. rec.,3899353
Building Material and Garden Equipment and Supplies Dealers,444,firms,62011
,444,estab.,88304
,444,empl.,1373961
,444,ann. pay.,39513609
,444,est. rec.,332908952
Building Material and Supplies Dealers,4441,firms,45392
,4441,estab.,67949
,4441,empl.,1202392
,4441,ann. pay.,34910115
,4441,est. rec.,290981936
Home Centers,44411,firms,2628
,44411,estab.,7150
,44411,empl.,M
,44411,ann. pay.,D
,44411,est. rec.,D
Home Centers,444110,firms,2628
,444110,estab.,7150
,444110,empl.,M
,444110,ann. pay.,D
,444110,est. rec.,D
Paint and Wallpaper Stores,44412,firms,2428
,44412,estab.,8025
,44412,empl.,35316
,44412,ann. pay.,1360666
,44412,est. rec.,10542440
Paint and Wallpaper Stores,444120,firms,2428
,444120,estab.,8025
,444120,empl.,35316
,444120,ann. pay.,1360666
,444120,est. rec.,10542440
Hardware Stores,44413,firms,11892
,44413,estab.,14193
,44413,empl.,140296
,44413,ann. pay.,3016233
,44413,est. rec.,19739643
Hardware Stores,444130,firms,11892
,444130,estab.,14193
,444130,empl.,140296
,444130,ann. pay.,3016233
,444130,est. rec.,19739643
Other Building Material Dealers,44419,firms,28672
,44419,estab.,38581
,44419,empl.,404391
,44419,ann. pay.,16054459
,44419,est. rec.,116823084
Other Building Material Dealers,444190,firms,28672
,444190,estab.,38581
,444190,empl.,404391
,444190,ann. pay.,16054459
,444190,est. rec.,116823084
Lawn and Garden Equipment and Supplies Stores,4442,firms,16687
,4442,estab.,20355
,4442,empl.,171569
,4442,ann. pay.,4603494
,4442,est. rec.,41927016
Outdoor Power Equipment Stores,44421,firms,3998
,44421,estab.,4255
,44421,empl.,26193
,44421,ann. pay.,775842
,44421,est. rec.,6286700
Outdoor Power Equipment Stores,444210,firms,3998
,444210,estab.,4255
,444210,empl.,26193
,444210,ann. pay.,775842
,444210,est. rec.,6286700
"Nursery, Garden Center, and Farm Supply Stores",44422,firms,12708
,44422,estab.,16100
,44422,empl.,145376
,44422,ann. pay.,3827652
,44422,est. rec.,35640316
"Nursery, Garden Center, and Farm Supply Stores",444220,firms,12708
,444220,estab.,16100
,444220,empl.,145376
,444220,ann. pay.,3827652
,444220,est. rec.,35640316
Food and Beverage Stores,445,firms,116280
,445,estab.,151031
,445,empl.,2881783
,445,ann. pay.,56281379
,445,est. rec.,552381358
Grocery Stores,4451,firms,65822
,4451,estab.,92315
,4451,empl.,2564533
,4451,ann. pay.,50589167
,4451,est. rec.,495557210
Supermarkets and Other Grocery (except Convenience) Stores,44511,firms,40923
,44511,estab.,64142
,44511,empl.,2424912
,44511,ann. pay.,48417201
,44511,est. rec.,468139780
Supermarkets and Other Grocery (except Convenience) Stores,445110,firms,40923
,445110,estab.,64142
,445110,empl.,2424912
,445110,ann. pay.,48417201
,445110,est. rec.,468139780
Convenience Stores,44512,firms,24969
,44512,estab.,28173
,44512,empl.,139621
,44512,ann. pay.,2171966
,44512,est. rec.,27417430
Convenience Stores,445120,firms,24969
,445120,estab.,28173
,445120,empl.,139621
,445120,ann. pay.,2171966
,445120,est. rec.,27417430
Specialty Food Stores,4452,firms,23632
,4452,estab.,28281
,4452,empl.,174558
,4452,ann. pay.,2985773
,4452,est. rec.,20884056
Meat Markets,44521,firms,5518
,44521,estab.,6055
,44521,empl.,41559
,44521,ann. pay.,803782
,44521,est. rec.,6182360
Meat Markets,445210,firms,5518
,445210,estab.,6055
,445210,empl.,41559
,445210,ann. pay.,803782
,445210,est. rec.,6182360
Fish and Seafood Markets,44522,firms,2054
,44522,estab.,2094
,44522,empl.,10380
,44522,ann. pay.,209404
,44522,est. rec.,1799330
Fish and Seafood Markets,445220,firms,2054
,445220,estab.,2094
,445220,empl.,10380
,445220,ann. pay.,209404
,445220,est. rec.,1799330
Fruit and Vegetable Markets,44523,firms,3182
,44523,estab.,3314
,44523,empl.,23498
,44523,ann. pay.,483292
,44523,est. rec.,4485969
Fruit and Vegetable Markets,445230,firms,3182
,445230,estab.,3314
,445230,empl.,23498
,445230,ann. pay.,483292
,445230,est. rec.,4485969
Other Specialty Food Stores,44529,firms,12890
,44529,estab.,16818
,44529,empl.,99121
,44529,ann. pay.,1489295
,44529,est. rec.,8416397
Baked Goods Stores,445291,firms,3617
,445291,estab.,4782
,445291,empl.,28845
,445291,ann. pay.,558634
,445291,est. rec.,2617654
Confectionery and Nut Stores,445292,firms,2265
,445292,estab.,3643
,445292,empl.,20466
,445292,ann. pay.,276854
,445292,est. rec.,1875711
All Other Specialty Food Stores,445299,firms,7012
,445299,estab.,8393
,445299,empl.,49810
,445299,ann. pay.,653807
,445299,est. rec.,3923032
"Beer, Wine, and Liquor Stores",4453,firms,26970
,4453,estab.,30435
,4453,empl.,142692
,4453,ann. pay.,2706439
,4453,est. rec.,35940092
"Beer, Wine, and Liquor Stores",44531,firms,26970
,44531,estab.,30435
,44531,empl.,142692
,44531,ann. pay.,2706439
,44531,est. rec.,35940092
"Beer, Wine, and Liquor Stores",445310,firms,26970
,445310,estab.,30435
,445310,empl.,142692
,445310,ann. pay.,2706439
,445310,est. rec.,35940092
Health and Personal Care Stores,446,firms,43864
,446,estab.,89406
,446,empl.,1069187
,446,ann. pay.,31960397
,446,est. rec.,259106568
Health and Personal Care Stores,4461,firms,43864
,4461,estab.,89406
,4461,empl.,1069187
,4461,ann. pay.,31960397
,4461,est. rec.,259106568
Pharmacies and Drug Stores,44611,firms,18687
,44611,estab.,42267
,44611,empl.,797816
,44611,ann. pay.,24935581
,44611,est. rec.,221120271
Pharmacies and Drug Stores,446110,firms,18687
,446110,estab.,42267
,446110,empl.,797816
,446110,ann. pay.,24935581
,446110,est. rec.,221120271
"Cosmetics, Beauty Supplies, and Perfume Stores",44612,firms,7012
,44612,estab.,14194
,44612,empl.,90993
,44612,ann. pay.,1735031
,44612,est. rec.,12259562
"Cosmetics, Beauty Supplies, and Perfume Stores",446120,firms,7012
,446120,estab.,14194
,446120,empl.,90993
,446120,ann. pay.,1735031
,446120,est. rec.,12259562
Optical Goods Stores,44613,firms,5341
,44613,estab.,12910
,44613,empl.,70814
,44613,ann. pay.,1894034
,44613,est. rec.,8212009
Optical Goods Stores,446130,firms,5341
,446130,estab.,12910
,446130,empl.,70814
,446130,ann. pay.,1894034
,446130,est. rec.,8212009
Other Health and Personal Care Stores,44619,firms,12970
,44619,estab.,20035
,44619,empl.,109564
,44619,ann. pay.,3395751
,44619,est. rec.,17514726
Food (Health) Supplement Stores,446191,firms,5453
,446191,estab.,9350
,446191,empl.,48090
,446191,ann. pay.,925905
,446191,est. rec.,6491438
All Other Health and Personal Care Stores,446199,firms,7519
,446199,estab.,10685
,446199,empl.,61474
,446199,ann. pay.,2469846
,446199,est. rec.,11023288
Gasoline Stations,447,firms,66431
,447,estab.,115533
,447,empl.,888705
,447,ann. pay.,14921193
,447,est. rec.,440453786
Gasoline Stations,4471,firms,66431
,4471,estab.,115533
,4471,empl.,888705
,4471,ann. pay.,14921193
,4471,est. rec.,440453786
