"country","countrycode","year","ctfp"
"Philippines","PHL",2014,0.460991263389587
"Poland","POL",2014,0.793367445468903
"Portugal","PRT",2014,0.657020151615143
"Paraguay","PRY",2014,0.468242019414902
"State of Palestine","PSE",2014,NA
"Qatar","QAT",2014,1.45725274085999
"Romania","ROU",2014,0.623056292533875
"Russian Federation","RUS",2014,0.659274995326996
"Rwanda","RWA",2014,0.17951200902462
"Saudi Arabia","SAU",2014,1.14420437812805
"Sudan (Former)","SDN",2014,0.591804325580597
"Senegal","SEN",2014,0.382748007774353
"Singapore","SGP",2014,0.760483026504517
"Sierra Leone","SLE",2014,0.264609456062317
"Salvador","SLV",2014,NA
"Serbia","SRB",2014,0.609565734863281
"Sao Tome and Principe","STP",2014,NA
"Suriname","SUR",2014,NA
"Slovakia","SVK",2014,0.659537136554718
"Slovenia","SVN",2014,0.601223230361939
"Sweden","SWE",2014,0.847014963626861
"Swaziland","SWZ",2014,0.584941685199738
"Sint Maarten (Dutch part)","SXM",2014,NA
"Seychelles","SYC",2014,NA
"Syrian Arab Republic","SYR",2014,NA
"Turks and Caicos Islands","TCA",2014,NA
"Chad","TCD",2014,NA
"Togo","TGO",2014,0.139950692653656
"Thailand","THA",2014,0.42919260263443
"Tajikistan","TJK",2014,0.234102472662926
"Turkmenistan","TKM",2014,NA
"Trinidad and Tobago","TTO",2014,0.71474826335907
"Tunisia","TUN",2014,0.552820026874542
"Turkey","TUR",2014,0.939716100692749
"Taiwan","TWN",2014,0.826393485069275
"U.R. of Tanzania: Mainland","TZA",2014,0.263693600893021
"Uganda","UGA",2014,NA
"Ukraine","UKR",2014,0.443454623222351
"Uruguay","URY",2014,0.671589314937592
"United States","USA",2014,1
"Uzbekistan","UZB",2014,NA
"St. Vincent and the Grenadines","VCT",2014,NA
"Venezuela (Bolivarian Republic of)","VEN",2014,0.522707045078278
"British Virgin Islands","VGB",2014,NA
"Viet Nam","VNM",2014,NA
"Yemen","YEM",2014,NA
"South Africa","ZAF",2014,0.531145513057709
"Zambia","ZMB",2014,NA
"Zimbabwe","ZWE",2014,0.199433520436287
